SampleName	Provided_Breeds	BreedQC
ESMD000002	NA	Pass QC
ESMD000006	NA	Pass QC
ESMD000003	NA	Pass QC
ESMD000004	NA	Pass QC
ESMD000005	NA	Pass QC
ZAGR000002	NA	Pass QC
SGGO000002	NA	Pass QC
SPWD000004	NA	Pass QC
BRTR000001	NA	Pass QC
BRTR000002	NA	Pass QC
BRTR000004	NA	Pass QC
BRTR000005	NA	Pass QC
BRTR000003	NA	Pass QC
SWEH000003	NA	Pass QC
SWEH000002	NA	Pass QC
ASKT000001	NA	Pass QC
ASKT000002	NA	Pass QC
ASKT000003	NA	Pass QC
MAAG000003	NA	Pass QC
MAAG000004	NA	Pass QC
MAAG000002	NA	Pass QC
MAAG000001	NA	Pass QC
MAAG000006	NA	Pass QC
MAAG000005	NA	Pass QC
CRTR000004	NA	Pass QC
SMCD000002	NA	Pass QC
SMCD000001	NA	Pass QC
BERG000002	NA	Pass QC
BERG000004	NA	Pass QC
BERG000001	NA	Pass QC
BERG000003	NA	Pass QC
ESET000001	NA	Pass QC
BRAC000003	NA	Pass QC
BRAC000006	NA	Pass QC
BRAC000005	NA	Pass QC
BRAC000001	NA	Pass QC
BRAC000004	NA	Pass QC
BRAC000002	NA	Pass QC
ZAGR000001	NA	Pass QC
SPWD000001	NA	Pass QC
SPMT000005	NA	Pass QC
EPNT000009	NA	Pass QC
AUSS000001	NA	Pass QC
AUSS000003	NA	Pass QC
AUSS000002	NA	Pass QC
GHND000003	NA	Pass QC
GHND000004	NA	Pass QC
GHND000001	NA	Pass QC
GHND000002	NA	Pass QC
GHND000005	NA	Pass QC
GHND000006	NA	Pass QC
WHIP000004	NA	Pass QC
WHIP000006	NA	Pass QC
WHIP000003	NA	Pass QC
WHIP000002	NA	Pass QC
WHIP000005	NA	Pass QC
WHIP000001	NA	Pass QC
DEER000002	NA	Pass QC
DEER000003	NA	Pass QC
DEER000001	NA	Pass QC
BOLO000002	NA	Pass QC
BOLO000006	NA	Pass QC
MARM000003	NA	Pass QC
MARM000001	NA	Pass QC
PPOP000002	NA	Pass QC
PPOP000001	NA	Pass QC
MALT000003	NA	Pass QC
MALT000001	NA	Pass QC
MALT000004	NA	Pass QC
MALT000002	NA	Pass QC
GSNZ000001	NA	Pass QC
GSNZ000005	NA	Pass QC
GSNZ000006	NA	Pass QC
GSNZ000002	NA	Pass QC
GSNZ000003	NA	Pass QC
GSNZ000004	NA	Pass QC
LMUN000001	NA	Pass QC
DSFD000003	NA	Pass QC
PRKR000003	NA	Pass QC
PRKR000002	NA	Pass QC
GFBR000001	NA	Pass QC
SLKV000001	NA	Pass QC
SLKV000002	NA	Pass QC
KERY000001	NA	Pass QC
KERY000002	NA	Pass QC
SMSH000003	Small Swiss Hound	Pass QC
SMSH000006	Small Swiss Hound	Pass QC
SMSH000010	Small Swiss Hound	Pass QC
SMSH000002	Small Swiss Hound	Pass QC
SMSH000001	Small Swiss Hound	Pass QC
SMSH000012	Small Swiss Hound	Pass QC
SMSH000009	Small Swiss Hound	Pass QC
SMSH000011	Small Swiss Hound	Pass QC
SMSH000005	Small Swiss Hound	Pass QC
SMSH000007	Small Swiss Hound	Pass QC
SMSH000004	Small Swiss Hound	Pass QC
SLCU000007	NA	Pass QC
SLCU000002	NA	Pass QC
SLCU000006	NA	Pass QC
SLCU000005	NA	Pass QC
SLCU000001	NA	Pass QC
SLCU000003	NA	Pass QC
SLCU000004	NA	Pass QC
YORK000004	NA	Pass QC
PBGV000011	NA	Pass QC
YORK000002	NA	Pass QC
YORK000003	NA	Pass QC
YORK000005	NA	Pass QC
BWRT000003	NA	Pass QC
YORK000001	NA	Pass QC
BWRT000006	NA	Pass QC
BWRT000004	NA	Pass QC
BWRT000001	NA	Pass QC
BWRT000005	NA	Pass QC
BWRT000002	NA	Pass QC
RTOY000001	NA	Pass QC
ROOS000002	NA	Pass QC
MPIN000004	NA	Pass QC
STAF000004	NA	Pass QC
STAF000005	NA	Pass QC
STAF000002	NA	Pass QC
STAF000003	NA	Pass QC
