SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
CCB030038	NA	Pass QC	UCL
CCB030038_URen	Labrador Retriever	Pass QC	OM
i_750B	Labrador Retriever	Pass QC	GLM
i_8228	Labrador Retriever	Pass QC	GLM
CCB030097	NA	Pass QC	UCL
CCB030097_URen	Labrador Retriever	Pass QC	OM
HPCI_0008	Labrador Retriever	Pass QC	OSA
CCB060128	NA	Pass QC	UCL
T-1247	Labrador Retriever	Pass QC	OSA
HPCI_0005	Greyhound	Pass QC	OSA
TacRei	Greyhound	Pass QC	OSA
ShaRin	Greyhound	Pass QC	OSA
AleKee	Greyhound	Pass QC	OSA
GalLyo	Greyhound	Pass QC	OSA
PhaMor	Greyhound	Pass QC	OSA
JacMay	Greyhound	Pass QC	OSA
PepRey	Greyhound	Pass QC	OSA
JohMar	Greyhound	Pass QC	OSA
AllSmi	Greyhound	Pass QC	OSA
MinMei	Greyhound	Pass QC	OSA
GenCon	Greyhound	Pass QC	OSA
HPCI_0044	Greyhound	Pass QC	OSA
GraWie	Greyhound	Pass QC	OSA
PurRow	Greyhound	Pass QC	OSA
T-458	Greyhound	Pass QC	OSA
ColWym	Greyhound	Pass QC	OSA
TriPar	Greyhound	Pass QC	OSA
GarLar	Greyhound	Pass QC	OSA
HemBig	Greyhound	Pass QC	OSA
AlvWen	Greyhound	Pass QC	OSA
DiaPar	Greyhound	Pass QC	OSA
FBB	Greyhound	Pass QC	OSA
JoeVar	Greyhound	Pass QC	OSA
HBB	Greyhound	Pass QC	OSA
SanSte	Greyhound	Pass QC	OSA
STBD000013	Saint Bernard	Pass QC	NonT
STBD000004	Saint Bernard	Pass QC	NonT
STBD000001	Saint Bernard	Pass QC	NonT
STBD000003	Saint Bernard	Pass QC	NonT
STBD000002	Saint Bernard	Pass QC	NonT
STBD000011	Saint Bernard	Pass QC	NonT
STBD000008	Saint Bernard	Pass QC	NonT
STBD000012	Saint Bernard	Pass QC	NonT
STBD000009	Saint Bernard	Pass QC	NonT
STBD000006	Saint Bernard	Pass QC	NonT
STBD000010	Saint Bernard	Pass QC	NonT
STBD000007	Saint Bernard	Pass QC	NonT
STBD000005	Saint Bernard	Pass QC	NonT
T-999	Saint Bernard	Pass QC	OSA
SEAL000010	Sealyham Terrier	Pass QC	NonT
SEAL000009	Sealyham Terrier	Pass QC	NonT
SEAL000008	Sealyham Terrier	Pass QC	NonT
SEAL000004	Sealyham Terrier	Pass QC	NonT
SEAL000003	Sealyham Terrier	Pass QC	NonT
SEAL000006	Sealyham Terrier	Pass QC	NonT
SEAL000002	Sealyham Terrier	Pass QC	NonT
SEAL000007	Sealyham Terrier	Pass QC	NonT
SEAL000005	Sealyham Terrier	Pass QC	NonT
BBLS000002	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000003	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000004	White Swiss Shepherd Dog	Pass QC	NonT
BBLS000003	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000008	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000005	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000009	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000007	White Swiss Shepherd Dog	Pass QC	NonT
BBLS000001	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000006	White Swiss Shepherd Dog	Pass QC	NonT
WSSD000010	White Swiss Shepherd Dog	Pass QC	NonT
CCB060153	Golden Retriever	Pass QC	BCL
DD0080	NA	Pass QC	OM
CCB010054	Cocker Spaniel	Pass QC	BCL
DD0242	NA	Pass QC	UC
CCB010099	Cocker Spaniel	Pass QC	BCL
DD0007	NA	Pass QC	OM
CCB070131	Cocker Spaniel	Pass QC	BCL
CCB030193	Cocker Spaniel	Pass QC	BCL
DD0050	NA	Pass QC	OM
CCB070124	Cocker Spaniel	Pass QC	BCL
CCB040180	Cocker Spaniel	Pass QC	BCL
DD0047	NA	Pass QC	OM
DD0054	NA	Pass QC	OM
CCB030293	NA	Pass QC	UCL
DD0073	NA	Pass QC	OM
DD0393	NA	Pass QC	UC
4117	Cocker Spaniel	Pass QC	BCL
CMT-183	NA	Pass QC	MT
CCB020062	NA	Pass QC	UCL
CMT-586	Cocker Spaniel	Pass QC	MT
CMT-737	Cocker Spaniel	Pass QC	MT
CCB060086	NA	Pass QC	UCL
CMT-283	Cocker Spaniel	Pass QC	MT
CMT-100	Cocker Spaniel	Pass QC	MT
CCB060088	NA	Pass QC	UCL
CCB070086	Cocker Spaniel	Pass QC	BCL
CCB070289	Cocker Spaniel	Pass QC	BCL
CCB060135	Cocker Spaniel	Pass QC	BCL
CMT-630	Cocker Spaniel	Pass QC	MT
CMT-603	NA	Pass QC	MT
CMT-471	Cocker Spaniel	Pass QC	MT
CMT-459	Cocker Spaniel	Pass QC	MT
CMT-78	Cocker Spaniel	Pass QC	MT
CMT-436	Cocker Spaniel	Pass QC	MT
DD0014	NA	Pass QC	OM
DD0014-1	NA	Pass QC	OM
DD0074	NA	Pass QC	OM
DD0067	NA	Pass QC	OM
DD0061	NA	Pass QC	OM
